iter	Passed	Remaining
0	205	204808
1	207	103320
2	208	69182
3	208	52010
4	209	41703
5	210	34841
6	212	30076
7	212	26394
8	213	23528
9	214	21240
10	215	19370
11	216	17807
12	217	16486
13	218	15354
14	218	14372
15	220	13585
16	221	12822
17	222	12140
18	223	11529
19	224	10978
20	224	10482
21	225	10029
22	226	9619
23	227	9244
24	228	8896
25	228	8578
26	229	8285
27	230	8011
28	232	7792
29	235	7605
30	236	7399
31	238	7199
32	239	7004
33	240	6823
34	241	6645
35	241	6478
36	242	6322
37	243	6172
38	244	6030
39	246	5917
40	247	5791
41	248	5676
42	249	5554
43	250	5437
44	250	5326
45	251	5220
46	252	5118
47	253	5020
48	253	4928
49	254	4844
50	255	4758
51	256	4674
52	257	4594
53	257	4516
54	258	4445
55	260	4383
56	261	4320
57	262	4257
58	263	4197
59	263	4133
60	264	4071
61	265	4012
62	265	3954
63	266	3899
64	267	3852
65	268	3803
66	269	3752
67	270	3702
68	270	3654
69	271	3607
70	272	3561
71	272	3516
72	274	3479
73	275	3448
74	276	3415
75	277	3375
76	278	3337
77	279	3299
78	279	3262
79	280	3225
80	281	3189
81	281	3154
82	282	3117
83	282	3083
84	283	3051
85	284	3019
86	284	2988
87	285	2958
88	286	2929
89	286	2900
90	287	2871
91	288	2848
92	290	2830
93	291	2809
94	292	2784
95	293	2760
96	294	2737
97	294	2712
98	295	2689
99	296	2666
100	296	2642
101	297	2619
102	298	2597
103	298	2575
104	299	2554
105	300	2532
106	300	2511
107	301	2490
108	302	2470
109	303	2455
110	304	2441
111	306	2427
112	306	2408
113	307	2390
114	308	2371
115	308	2353
116	309	2334
117	310	2317
118	310	2300
119	311	2282
120	311	2266
121	312	2249
122	313	2233
123	313	2218
124	314	2203
125	315	2189
126	316	2174
127	317	2162
128	319	2157
129	320	2145
130	321	2134
131	322	2121
132	323	2107
133	324	2094
134	324	2081
135	325	2068
136	326	2056
137	327	2044
138	328	2032
139	328	2020
140	329	2008
141	330	1995
142	330	1983
143	331	1973
144	333	1966
145	334	1957
146	335	1946
147	336	1939
148	337	1929
149	338	1918
150	339	1908
151	340	1897
152	340	1887
153	341	1877
154	342	1867
155	343	1857
156	344	1847
157	344	1838
158	345	1829
159	346	1821
160	347	1811
161	348	1804
162	349	1795
163	350	1786
164	351	1776
165	351	1768
166	352	1759
167	353	1750
168	354	1741
169	354	1733
170	355	1724
171	356	1716
172	357	1708
173	358	1700
174	358	1692
175	359	1685
176	362	1683
177	363	1680
178	365	1674
179	365	1667
180	366	1659
181	367	1651
182	368	1643
183	368	1636
184	369	1628
185	370	1621
186	371	1614
187	372	1607
188	373	1600
189	373	1593
190	375	1588
191	376	1584
192	378	1583
193	379	1578
194	381	1573
195	382	1567
196	382	1560
197	383	1553
198	384	1547
199	385	1540
200	385	1534
201	386	1527
202	387	1521
203	388	1515
204	389	1509
205	389	1503
206	391	1499
207	393	1497
208	394	1493
209	395	1487
210	396	1481
211	396	1475
212	397	1469
213	398	1463
214	399	1459
215	400	1453
216	401	1448
217	402	1442
218	402	1436
219	403	1430
220	404	1424
221	404	1418
222	405	1413
223	406	1409
224	408	1406
225	409	1403
226	410	1397
227	411	1391
228	411	1386
229	412	1380
230	412	1374
231	413	1369
232	414	1363
233	414	1358
234	415	1352
235	416	1347
236	416	1342
237	417	1336
238	418	1331
239	418	1326
240	419	1320
241	420	1315
242	421	1312
243	422	1310
244	423	1305
245	424	1300
246	425	1295
247	425	1290
248	426	1285
249	426	1280
250	427	1275
251	428	1271
252	428	1266
253	429	1261
254	430	1257
255	430	1252
256	432	1249
257	432	1244
258	433	1239
259	434	1235
260	434	1230
261	435	1227
262	436	1224
263	437	1220
264	438	1216
265	439	1211
266	439	1207
267	440	1203
268	441	1198
269	441	1194
270	442	1189
271	442	1185
272	443	1181
273	444	1177
274	445	1173
275	445	1169
276	446	1165
277	447	1160
278	447	1157
279	448	1153
280	449	1149
281	449	1144
282	451	1142
283	452	1141
284	454	1139
285	456	1139
286	457	1135
287	458	1132
288	458	1128
289	459	1125
290	460	1121
291	461	1117
292	461	1114
293	462	1110
294	463	1107
295	464	1103
296	464	1099
297	466	1099
298	467	1096
299	468	1093
300	469	1090
301	470	1086
302	470	1083
303	471	1079
304	472	1075
305	472	1072
306	473	1068
307	474	1065
308	474	1061
309	475	1058
310	476	1055
311	476	1051
312	477	1048
313	478	1045
314	479	1041
315	479	1038
316	480	1036
317	482	1033
318	483	1031
319	484	1028
320	484	1025
321	485	1022
322	486	1019
323	487	1016
324	487	1012
325	488	1009
326	488	1006
327	489	1003
328	490	999
329	490	996
330	491	993
331	492	990
332	492	987
333	493	984
334	494	981
335	496	980
336	497	978
337	498	976
338	499	974
339	500	972
340	501	969
341	502	966
342	502	962
343	503	959
344	504	956
345	504	953
346	505	950
347	505	947
348	506	945
349	507	942
350	508	939
351	508	936
352	509	933
353	510	931
354	510	928
355	511	925
356	512	922
357	513	920
358	514	918
359	514	915
360	515	912
361	516	909
362	516	907
363	517	904
364	518	901
365	518	898
366	519	895
367	520	894
368	524	896
369	526	896
370	529	897
371	531	897
372	532	895
373	533	892
374	534	891
375	535	889
376	536	887
377	537	885
378	538	882
379	539	880
380	540	877
381	541	875
382	541	873
383	543	872
384	544	870
385	545	867
386	546	865
387	547	862
388	547	860
389	548	857
390	549	855
391	549	852
392	550	850
393	551	847
394	551	845
395	552	842
396	553	840
397	553	837
398	554	835
399	555	832
400	555	830
401	556	827
402	557	825
403	558	824
404	559	822
405	560	820
406	561	818
407	562	815
408	562	813
409	563	810
410	564	808
411	564	806
412	565	803
413	566	801
414	566	798
415	567	796
416	567	794
417	568	791
418	569	789
419	569	787
420	570	784
421	571	782
422	572	781
423	574	780
424	575	778
425	576	776
426	577	774
427	578	772
428	578	770
429	579	768
430	580	765
431	580	763
432	581	761
433	582	759
434	582	756
435	583	754
436	583	752
437	584	750
438	585	747
439	585	745
440	587	744
441	588	742
442	589	740
443	589	738
444	590	736
445	591	734
446	591	732
447	592	730
448	593	727
449	593	725
450	594	723
451	595	721
452	595	719
453	596	717
454	596	715
455	597	713
456	598	710
457	599	708
458	599	706
459	600	704
460	601	703
461	602	701
462	603	700
463	604	698
464	605	696
465	606	694
466	606	692
467	607	690
468	608	688
469	608	686
470	609	684
471	609	682
472	610	680
473	611	678
474	611	676
475	612	674
476	613	672
477	613	670
478	614	668
479	615	666
480	616	665
481	618	664
482	619	663
483	620	661
484	621	659
485	621	657
486	622	655
487	623	653
488	623	651
489	624	649
490	625	647
491	625	646
492	626	644
493	626	642
494	627	640
495	628	638
496	628	636
497	629	634
498	630	633
499	632	632
500	633	630
501	634	629
502	634	627
503	635	625
504	635	623
505	636	621
506	637	619
507	637	617
508	638	616
509	639	614
510	639	612
511	640	610
512	641	608
513	641	606
514	642	605
515	643	603
516	643	601
517	644	599
518	645	598
519	647	597
520	648	595
521	648	594
522	649	592
523	649	590
524	650	588
525	651	586
526	651	585
527	652	583
528	653	581
529	653	579
530	654	578
531	655	576
532	655	574
533	656	572
534	657	571
535	657	569
536	658	567
537	659	565
538	659	564
539	661	563
540	662	562
541	664	561
542	665	559
543	665	558
544	666	556
545	667	554
546	667	553
547	668	551
548	669	549
549	669	548
550	670	546
551	671	544
552	671	542
553	672	541
554	673	539
555	673	538
556	675	536
557	676	536
558	677	534
559	679	533
560	679	531
561	680	530
562	681	528
563	681	526
564	682	525
565	683	523
566	683	522
567	684	520
568	684	518
569	685	517
570	686	515
571	687	514
572	688	512
573	688	511
574	690	510
575	691	508
576	692	507
577	693	506
578	693	504
579	694	502
580	695	501
581	695	499
582	696	498
583	697	496
584	697	495
585	698	493
586	699	491
587	699	490
588	700	488
589	701	487
590	701	485
591	702	484
592	703	482
593	703	481
594	704	479
595	706	479
596	708	478
597	709	476
598	709	475
599	710	473
600	711	472
601	711	470
602	712	468
603	712	467
604	713	465
605	714	464
606	714	462
607	715	461
608	716	459
609	716	458
610	717	456
611	718	455
612	719	454
613	720	453
614	721	451
615	722	450
616	723	448
617	723	447
618	724	445
619	725	444
620	725	442
621	726	441
622	727	440
623	727	438
624	728	437
625	729	435
626	730	434
627	730	432
628	731	431
629	732	429
630	732	428
631	733	427
632	734	425
633	735	424
634	736	423
635	737	421
636	737	420
637	738	418
638	738	417
639	739	416
640	740	414
641	740	413
642	741	411
643	742	410
644	743	409
645	743	407
646	744	406
647	745	404
648	745	403
649	746	401
650	747	400
651	747	399
652	748	397
653	750	396
654	751	395
655	752	394
656	753	393
657	754	392
658	755	390
659	755	389
660	756	387
661	757	386
662	758	385
663	759	384
664	760	382
665	760	381
666	761	380
667	762	378
668	762	377
669	764	376
670	765	375
671	766	374
672	767	372
673	768	371
674	768	370
675	769	368
676	770	367
677	771	366
678	771	364
679	772	363
680	773	362
681	773	360
682	774	359
683	775	358
684	775	356
685	776	355
686	777	354
687	778	352
688	779	351
689	780	350
690	780	349
691	781	347
692	782	346
693	782	345
694	783	343
695	784	342
696	785	341
697	785	339
698	786	338
699	787	337
700	787	335
701	788	334
702	788	333
703	789	331
704	790	330
705	790	329
706	791	328
707	792	326
708	793	325
709	795	324
710	796	323
711	797	322
712	798	321
713	798	319
714	799	318
715	800	317
716	800	316
717	801	314
718	802	313
719	802	312
720	803	310
721	803	309
722	804	308
723	805	306
724	805	305
725	806	304
726	807	303
727	809	302
728	810	301
729	810	299
730	811	298
731	812	297
732	813	296
733	813	294
734	814	293
735	815	292
736	815	291
737	816	289
738	817	288
739	817	287
740	818	286
741	819	284
742	819	283
743	820	282
744	821	281
745	821	279
746	822	278
747	823	277
748	824	276
749	825	275
750	826	273
751	827	272
752	827	271
753	828	270
754	829	269
755	829	267
756	830	266
757	831	265
758	831	264
759	832	262
760	832	261
761	833	260
762	834	259
763	834	257
764	835	256
765	836	255
766	837	254
767	839	253
768	840	252
769	841	251
770	842	250
771	843	249
772	844	247
773	844	246
774	845	245
775	845	244
776	846	242
777	847	241
778	847	240
779	848	239
780	849	238
781	849	236
782	850	235
783	851	234
784	852	233
785	853	232
786	855	231
787	856	230
788	857	229
789	857	228
790	858	226
791	859	225
792	859	224
793	860	223
794	861	222
795	861	220
796	862	219
797	863	218
798	863	217
799	864	216
800	864	214
801	865	213
802	866	212
803	867	211
804	869	210
805	870	209
806	871	208
807	872	207
808	872	206
809	873	204
810	874	203
811	874	202
812	875	201
813	875	200
814	876	198
815	877	197
816	877	196
817	878	195
818	879	194
819	879	193
820	880	191
821	881	190
822	882	189
823	884	188
824	885	187
825	886	186
826	887	185
827	887	184
828	888	183
829	889	182
830	889	180
831	890	179
832	891	178
833	891	177
834	892	176
835	892	175
836	893	174
837	894	172
838	894	171
839	897	170
840	898	169
841	899	168
842	900	167
843	900	166
844	901	165
845	902	164
846	902	163
847	903	161
848	904	160
849	904	159
850	905	158
851	906	157
852	906	156
853	907	155
854	907	153
855	908	152
856	909	151
857	910	150
858	911	149
859	912	148
860	913	147
861	913	146
862	914	145
863	915	144
864	915	142
865	916	141
866	917	140
867	917	139
868	918	138
869	919	137
870	919	136
871	920	135
872	921	133
873	921	132
874	922	131
875	923	130
876	923	129
877	924	128
878	925	127
879	926	126
880	928	125
881	929	124
